student_profile_id,question_text,question_number,difficulty_level,pre_or_post,transcription_human,transcription_ai,score_human_total,score_human_max,feedback_human_json,feedback_ai_json,ai_utterance_duration_seconds,grader_name,grader_notes,ai_submission_id,lesson_id,question_id,submission_date,audio_filename,audio_link,ai_utterance_duration_seconds,city,school_name,question_text_original,grade
31203,Come on. We can do it together.,1,,pre,Come on We can do it together,Come on we can do do it together,13.0,14,"{""come"": 2, ""on"": 1, ""we"": 2, ""can"": 2, ""do"": 2, ""it"": 2, ""together"": 2}","{""come"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""on"": {""actual_score"": 85.0, ""normalized_score"": 1.7, ""normalized_rounded"": 2}, ""we"": {""actual_score"": 55.0, ""normalized_score"": 1.1, ""normalized_rounded"": 1}, ""can"": {""actual_score"": 79.0, ""normalized_score"": 1.58, ""normalized_rounded"": 2}, ""do"": {""actual_score"": 76.0, ""normalized_score"": 1.52, ""normalized_rounded"": 2}, ""it"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""together"": {""actual_score"": 48.0, ""normalized_score"": 0.96, ""normalized_rounded"": 1}}",6.84,ali,,1079836,3167,6675,2025-07-02 04:32:21.624,grade1_profile31203_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1gNIIRCu66cFoUycmnYbuXQfjAYlPGC8v/view?usp=drivesdk,6.84,,Wisdom School System,Come on. We can do it  together.,1
31203,It's locked. I can open it.,2,,pre,It's locked I can open it,It's locked i can open it,12.0,12,"{""it's"": 2, ""locked"": 2, ""i"": 2, ""can"": 2, ""open"": 2, ""it"": 2}","{""it's"": {""actual_score"": 94.0, ""normalized_score"": 1.88, ""normalized_rounded"": 2}, ""locked"": {""actual_score"": 79.0, ""normalized_score"": 1.58, ""normalized_rounded"": 2}, ""i"": {""actual_score"": 82.0, ""normalized_score"": 1.64, ""normalized_rounded"": 2}, ""can"": {""actual_score"": 82.0, ""normalized_score"": 1.64, ""normalized_rounded"": 2}, ""open"": {""actual_score"": 85.0, ""normalized_score"": 1.7, ""normalized_rounded"": 2}, ""it"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}}",4.11,rehma,,1079867,3167,6674,2025-07-02 04:34:12.443,grade1_profile31203_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1QhMl4Rtsp4mtN2zThRsGBDiQ9CvKX7wc/view?usp=drivesdk,4.11,,Wisdom School System,It's locked. I can open it. ,1
31203,It's locked. I can open it.,2,,post,It's locked I can open it,It's locked i can open it,11.0,12,"{""it's"": 2, ""locked"": 1, ""i"": 2, ""can"": 2, ""open"": 2, ""it"": 2}","{""it's"": {""actual_score"": 26.0, ""normalized_score"": 0.52, ""normalized_rounded"": 1}, ""locked"": {""actual_score"": 60.0, ""normalized_score"": 1.2, ""normalized_rounded"": 1}, ""i"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""can"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""open"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""it"": {""actual_score"": 97.0, ""normalized_score"": 1.94, ""normalized_rounded"": 2}}",3.99,ali,,1508720,4248,7983,2025-07-25 05:08:07.788,grade1_profile31203_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1ZETZf7yiTU5oFdoBJgwMmiC7amV-q6Mi/view?usp=drivesdk,3.99,,Wisdom School System,It's locked. I can open it. ,1
31203,This is Zara. She loves to draw. This is Faiz. He loves to build things.,3,,post,This is Zara She loves to draw This is Faiz He loves to building build things,This is zara she loves to draw this is faiz he loves to build things build things,30.0,30,"{""this"": 2, ""is"": 2, ""zara"": 2, ""she"": 2, ""loves"": 2, ""to"": 2, ""draw"": 2, ""this.1"": 2, ""is.1"": 2, ""faiz"": 2, ""he"": 2, ""loves.1"": 2, ""to.1"": 2, ""build"": 2, ""things"": 2}","{""this"": {""actual_score"": 85.0, ""normalized_score"": 1.7, ""normalized_rounded"": 2}, ""is"": {""actual_score"": 94.0, ""normalized_score"": 1.88, ""normalized_rounded"": 2}, ""zara"": {""actual_score"": 85.0, ""normalized_score"": 1.7, ""normalized_rounded"": 2}, ""she"": {""actual_score"": 94.0, ""normalized_score"": 1.88, ""normalized_rounded"": 2}, ""loves"": {""actual_score"": 97.0, ""normalized_score"": 1.94, ""normalized_rounded"": 2}, ""to"": {""actual_score"": 88.0, ""normalized_score"": 1.76, ""normalized_rounded"": 2}, ""draw"": {""actual_score"": 94.0, ""normalized_score"": 1.88, ""normalized_rounded"": 2}, ""faiz"": {""actual_score"": 46.0, ""normalized_score"": 0.92, ""normalized_rounded"": 1}, ""he"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""build"": {""actual_score"": 88.0, ""normalized_score"": 1.76, ""normalized_rounded"": 2}, ""things"": {""actual_score"": 16.0, ""normalized_score"": 0.32, ""normalized_rounded"": 0}}",11.8,salman,,1508779,4248,7982,2025-07-25 05:09:16.817,grade1_profile31203_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1f6Whu2WzTtlJwNGTTkulRjvIo1_aPJwA/view?usp=drivesdk,11.8,,Wisdom School System,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,1
28417,Come on. We can do it together.,1,,pre,Come on We can do it toogether,Come on we can do it together,13.0,14,"{""come"": 2, ""on"": 2, ""we"": 2, ""can"": 2, ""do"": 2, ""it"": 2, ""together"": 1}","{""come"": {""actual_score"": 70.0, ""normalized_score"": 1.4, ""normalized_rounded"": 1}, ""on"": {""actual_score"": 79.0, ""normalized_score"": 1.58, ""normalized_rounded"": 2}, ""we"": {""actual_score"": 88.0, ""normalized_score"": 1.76, ""normalized_rounded"": 2}, ""can"": {""actual_score"": 88.0, ""normalized_score"": 1.76, ""normalized_rounded"": 2}, ""do"": {""actual_score"": 82.0, ""normalized_score"": 1.64, ""normalized_rounded"": 2}, ""it"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""together"": {""actual_score"": 56.0, ""normalized_score"": 1.12, ""normalized_rounded"": 1}}",6.39,anum,Seems like someone was assisting the kid in the background.,1021546,3167,6675,2025-06-25 07:06:18.208,grade1_profile28417_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1ONPAPhcjW3CEPrqyUJ8FxQ4iXzEKtg8S/view?usp=drivesdk,6.39,Sargodha,Pak Academia International School,Come on. We can do it  together.,1
28417,It's locked. I can open it.,2,,pre,It's locked I can open it,It's locked i can open it,12.0,12,"{""it's"": 2, ""locked"": 2, ""i"": 2, ""can"": 2, ""open"": 2, ""it"": 2}","{""it's"": {""actual_score"": 97.0, ""normalized_score"": 1.94, ""normalized_rounded"": 2}, ""locked"": {""actual_score"": 64.0, ""normalized_score"": 1.28, ""normalized_rounded"": 1}, ""i"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""can"": {""actual_score"": 94.0, ""normalized_score"": 1.88, ""normalized_rounded"": 2}, ""open"": {""actual_score"": 94.0, ""normalized_score"": 1.88, ""normalized_rounded"": 2}, ""it"": {""actual_score"": 94.0, ""normalized_score"": 1.88, ""normalized_rounded"": 2}}",4.59,rehma,,1021592,3167,6674,2025-06-25 07:07:50.228,grade1_profile28417_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1Z_P4lgPd49AqBdVIcl1zCbprEFvZ9_PW/view?usp=drivesdk,4.59,Sargodha,Pak Academia International School,It's locked. I can open it. ,1
28417,This is Zara. She loves to draw. This is Faiz. He loves to build things.,3,,pre,This is Zara She love to draw This is Faiz He loves to build things,This is zara he loves loves to draw this is faiz he loves loves build things things,29.0,30,"{""this"": 2, ""is"": 2, ""zara"": 2, ""she"": 2, ""loves"": 1, ""to"": 2, ""draw"": 2, ""this.1"": 2, ""is.1"": 2, ""faiz"": 2, ""he"": 2, ""loves.1"": 2, ""to.1"": 2, ""build"": 2, ""things"": 2}","{""this"": {""actual_score"": 73.0, ""normalized_score"": 1.46, ""normalized_rounded"": 1}, ""is"": {""actual_score"": 85.0, ""normalized_score"": 1.7, ""normalized_rounded"": 2}, ""zara"": {""actual_score"": 82.0, ""normalized_score"": 1.64, ""normalized_rounded"": 2}, ""he"": {""actual_score"": 76.0, ""normalized_score"": 1.52, ""normalized_rounded"": 2}, ""loves"": {""actual_score"": 17.0, ""normalized_score"": 0.34, ""normalized_rounded"": 0}, ""to"": {""actual_score"": 70.0, ""normalized_score"": 1.4, ""normalized_rounded"": 1}, ""draw"": {""actual_score"": 46.0, ""normalized_score"": 0.92, ""normalized_rounded"": 1}, ""faiz"": {""actual_score"": 10.0, ""normalized_score"": 0.2, ""normalized_rounded"": 0}, ""build"": {""actual_score"": 80.0, ""normalized_score"": 1.6, ""normalized_rounded"": 2}, ""things"": {""actual_score"": 79.0, ""normalized_score"": 1.58, ""normalized_rounded"": 2}}",24.45,salman,Parent helping,1021668,3167,6677,2025-06-25 07:20:34.491,grade1_profile28417_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1sSlUGns3gk2Dm8ogn5Eh39iZNmNqflE6/view?usp=drivesdk,24.45,Sargodha,Pak Academia International School,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,1
28417,Come on. We can do it together.,1,,post,Come on We can do it it the gather,Come on we can do it it together,12.0,14,"{""come"": 2, ""on"": 2, ""we"": 2, ""can"": 2, ""do"": 2, ""it"": 2, ""together"": 0}","{""come"": {""actual_score"": 85.0, ""normalized_score"": 1.7, ""normalized_rounded"": 2}, ""on"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""we"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""can"": {""actual_score"": 88.0, ""normalized_score"": 1.76, ""normalized_rounded"": 2}, ""do"": {""actual_score"": 79.0, ""normalized_score"": 1.58, ""normalized_rounded"": 2}, ""it"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""together"": {""actual_score"": 9.0, ""normalized_score"": 0.18, ""normalized_rounded"": 0}}",5.53,ali,Parent helping in background,1710622,4248,7979,2025-08-15 18:06:37.817,grade1_profile28417_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1T02mzDIDD5vp7c6G79lTgx7ZofsNNRAb/view?usp=drivesdk,5.53,Sargodha,Pak Academia International School,Come on. We can do it  together.,1
28417,It's locked. I can open it.,2,,post,This locked I can open it,It's locked i can open it,10.0,12,"{""it's"": 0, ""locked"": 2, ""i"": 2, ""can"": 2, ""open"": 2, ""it"": 2}","{""it's"": {""actual_score"": 24.0, ""normalized_score"": 0.48, ""normalized_rounded"": 0}, ""locked"": {""actual_score"": 56.0, ""normalized_score"": 1.12, ""normalized_rounded"": 1}, ""i"": {""actual_score"": 88.0, ""normalized_score"": 1.76, ""normalized_rounded"": 2}, ""can"": {""actual_score"": 88.0, ""normalized_score"": 1.76, ""normalized_rounded"": 2}, ""open"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""it"": {""actual_score"": 94.0, ""normalized_score"": 1.88, ""normalized_rounded"": 2}}",5.47,ali,,1710629,4248,7983,2025-08-15 18:07:45.009,grade1_profile28417_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1ahDtRbHfkMLeAzZ1C13m2RNWCFo-4Deg/view?usp=drivesdk,5.47,Sargodha,Pak Academia International School,It's locked. I can open it. ,1
28417,It's locked. I can open it.,2,,post,Thees lockdd I can open eet,It's locked i can open it,8.0,12,"{""it's"": 0, ""locked"": 1, ""i"": 2, ""can"": 2, ""open"": 2, ""it"": 1}","{""it's"": {""actual_score"": 24.0, ""normalized_score"": 0.48, ""normalized_rounded"": 0}, ""locked"": {""actual_score"": 56.0, ""normalized_score"": 1.12, ""normalized_rounded"": 1}, ""i"": {""actual_score"": 88.0, ""normalized_score"": 1.76, ""normalized_rounded"": 2}, ""can"": {""actual_score"": 88.0, ""normalized_score"": 1.76, ""normalized_rounded"": 2}, ""open"": {""actual_score"": 91.0, ""normalized_score"": 1.82, ""normalized_rounded"": 2}, ""it"": {""actual_score"": 94.0, ""normalized_score"": 1.88, ""normalized_rounded"": 2}}",5.47,anum,,1710629,4248,7983,2025-08-15 18:07:45.009,grade1_profile28417_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1ahDtRbHfkMLeAzZ1C13m2RNWCFo-4Deg/view?usp=drivesdk,5.47,Sargodha,Pak Academia International School,It's locked. I can open it. ,1
