audio_filename,word,human_1,human_1_name,human_2,human_2_name,human_avg,ai_score,ai_minus_human_avg
grade1_profile28344_q1_LP_20251122_095026.mp3,can,2.0,ali,2.0,anum,2.0,1.0,-1.0
grade1_profile28344_q1_LP_20251122_095026.mp3,come,2.0,ali,2.0,anum,2.0,0.0,-2.0
grade1_profile28344_q1_LP_20251122_095026.mp3,do,2.0,ali,2.0,anum,2.0,2.0,0.0
grade1_profile28344_q1_LP_20251122_095026.mp3,it,2.0,ali,1.0,anum,1.5,2.0,0.5
grade1_profile28344_q1_LP_20251122_095026.mp3,on,2.0,ali,2.0,anum,2.0,1.0,-1.0
grade1_profile28344_q1_LP_20251122_095026.mp3,together,2.0,ali,2.0,anum,2.0,1.0,-1.0
grade1_profile28344_q1_LP_20251122_095026.mp3,we,2.0,ali,2.0,anum,2.0,1.0,-1.0
grade1_profile28344_q1_LP_20251122_095026.mp3,i,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,it's,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,locked,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,open,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,build,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,draw,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,faiz,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,he,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,is,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,is.1,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,loves,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,loves.1,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,she,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,things,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,this,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,this.1,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,to,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,to.1,,ali,,anum,,,
grade1_profile28344_q1_LP_20251122_095026.mp3,zara,,ali,,anum,,,
grade1_profile28350_q2_LP_20251122_100201.mp3,can,2.0,salman,2.0,anum,2.0,2.0,0.0
grade1_profile28350_q2_LP_20251122_100201.mp3,come,,salman,,anum,,,
grade1_profile28350_q2_LP_20251122_100201.mp3,do,,salman,,anum,,,
grade1_profile28350_q2_LP_20251122_100201.mp3,it,2.0,salman,2.0,anum,2.0,2.0,0.0
grade1_profile28350_q2_LP_20251122_100201.mp3,on,,salman,,anum,,,
grade1_profile28350_q2_LP_20251122_100201.mp3,together,,salman,,anum,,,
grade1_profile28350_q2_LP_20251122_100201.mp3,we,,salman,,anum,,,
grade1_profile28350_q2_LP_20251122_100201.mp3,i,2.0,salman,2.0,anum,2.0,2.0,0.0
grade1_profile28350_q2_LP_20251122_100201.mp3,it's,1.0,salman,2.0,anum,1.5,1.0,-0.5
grade1_profile28350_q2_LP_20251122_100201.mp3,locked,2.0,salman,1.0,anum,1.5,1.0,-0.5
grade1_profile28350_q2_LP_20251122_100201.mp3,open,2.0,salman,2.0,anum,2.0,2.0,0.0
grade1_profile28350_q2_LP_20251122_100201.mp3,build,,salman,,anum,,,
grade1_profile28350_q2_LP_20251122_100201.mp3,draw,,salman,,anum,,,
grade1_profile28350_q2_LP_20251122_100201.mp3,faiz,,salman,,anum,,,
grade1_profile28350_q2_LP_20251122_100201.mp3,he,,salman,,anum,,,
grade1_profile28350_q2_LP_20251122_100201.mp3,is,,salman,,anum,,,
