audio_file_name,profile_id,pre_or_post,question_clean,word,word_position,total_ref_words,scorer,score,score_binary
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,this,0,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,is,1,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,zara,2,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,she,3,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,loves,4,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,to,5,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,draw,6,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,this,7,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,is,8,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,faiz,9,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,he,10,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,loves,11,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,to,12,15,Rehma,2,1
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,build,13,15,Rehma,0,0
grade1_profile28398_q3_QK_20251122_101834.mp3,28398,post,This is Zara. She loves to draw. This is Faiz. He loves to build things.,things,14,15,Rehma,2,1
grade1_profile28364_q3_LP_20251122_101304.mp3,28364,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,this,0,15,Rukhshan,2,1
grade1_profile28364_q3_LP_20251122_101304.mp3,28364,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,is,1,15,Rukhshan,2,1
grade1_profile28364_q3_LP_20251122_101304.mp3,28364,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,zara,2,15,Rukhshan,2,1
grade1_profile28364_q3_LP_20251122_101304.mp3,28364,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,she,3,15,Rukhshan,2,1
grade1_profile28364_q3_LP_20251122_101304.mp3,28364,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,loves,4,15,Rukhshan,0,0
grade1_profile28364_q3_LP_20251122_101304.mp3,28364,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,to,5,15,Rukhshan,2,1
grade1_profile28364_q3_LP_20251122_101304.mp3,28364,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,draw,6,15,Rukhshan,2,1
grade1_profile28364_q3_LP_20251122_101304.mp3,28364,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,this,7,15,Rukhshan,2,1
grade1_profile28364_q3_LP_20251122_101304.mp3,28364,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,is,8,15,Rukhshan,2,1
grade1_profile28364_q3_LP_20251122_101304.mp3,28364,pre,This is Zara. She loves to draw. This is Faiz. He loves to build things.,faiz,9,15,Rukhshan,2,1
