audio_file_name,question,grader,ai_model,human_transcription,ai_transcription,wer
grade1_profile28390_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Amna,scribe_v2,She loves to draw. This is faiz. He loves to build things,She loves to go out as well. She loves to wear things?,0.5
grade1_profile28390_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Abdullah,scribe_v2,she loves to daw. This is faiz. He loves to build things,She loves to go out as well. She loves to wear things?,0.5
grade1_profile28390_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Amna,gemini-3-pro,She loves to draw. This is faiz. He loves to build things,"She loves to draw different faces, he loves to build things.",0.25
grade1_profile28390_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Abdullah,gemini-3-pro,she loves to daw. This is faiz. He loves to build things,"She loves to draw different faces, he loves to build things.",0.3333333333333333
grade1_profile28390_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Amna,voxtral small,She loves to draw. This is faiz. He loves to build things,"She loves to draw, this is her face, he loves to hurt, thanks.",0.3333333333333333
grade1_profile28390_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Abdullah,voxtral small,she loves to daw. This is faiz. He loves to build things,"She loves to draw, this is her face, he loves to hurt, thanks.",0.4166666666666667
grade1_profile28390_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Amna,gemini-3-flash,She loves to draw. This is faiz. He loves to build things,"She loves to follow the suspense, he loves to build things, she loves to follow the suspense, he loves to build things.",1.1666666666666667
grade1_profile28390_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Abdullah,gemini-3-flash,she loves to daw. This is faiz. He loves to build things,"She loves to follow the suspense, he loves to build things, she loves to follow the suspense, he loves to build things.",1.1666666666666667
grade1_profile28390_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Amna,universal-3-pro,She loves to draw. This is faiz. He loves to build things,She loves to draw this face. He loves to hear things.,0.25
grade1_profile28390_q3_QK_20251122_101834.mp3,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Abdullah,universal-3-pro,she loves to daw. This is faiz. He loves to build things,She loves to draw this face. He loves to hear things.,0.3333333333333333
