audio_file_name,Submitted Audio Link,Question,Human Transcription,It's,locked.,I,can,open,it.,Notes
grade1_profile31203_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1QhMl4Rtsp4mtN2zThRsGBDiQ9CvKX7wc/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28417_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1Z_P4lgPd49AqBdVIcl1zCbprEFvZ9_PW/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28376_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1XPoOMcxYhQyqSzfqPPvhf7xvdOGeni9Y/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I an open it. ,2,0,2,0,2,2,
grade1_profile28425_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1ZTyggh8rdRPamHgC62W9FPHjhb_7wIPj/view?usp=drivesdk,It's locked. I can open it. ,It'sh rocked. I can open it,1,0,2,2,2,2,
grade1_profile28431_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1XgaOhFFpDHryC86pvLR6CwapTvHz3mvv/view?usp=drivesdk,It's locked. I can open it. ,I can open it,0,0,2,2,2,2,
grade1_profile30544_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1E4ZzV9cF8mDksdNfaUCf-aBuwM-Ul3FN/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28389_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1ekFl2B5omJbkL_dMgWnC6-26zrBw5R6y/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can open e,2,0,2,2,2,1,
grade1_profile30693_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/16Z620e3tK2oayW-M94VQeU9yWaNodktD/view?usp=drivesdk,It's locked. I can open it. ,-,,,,,,,e3
grade1_profile28345_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/15CbKnGJ7GiWVVvsPPiUz9FKYOzfVsc7u/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28446_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/13UrTlvRtY1xuoHp8GFKa-jrfSzzcnZ_4/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can open it. ,2,0,2,2,2,2,
grade1_profile28362_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/190MgljNxOpPv74E5sPOpil9O5WRmLs30/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can apen it,2,2,2,2,1,2,
grade1_profile28470_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/10SRf9nJwwNaEqcICAI2PrGHB1BkFRpeY/view?usp=drivesdk,It's locked. I can open it. ,It's loooock. I can open it,2,0,2,2,2,2,
grade1_profile28498_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1JAJ1qb-W7i_xLePJBtS8rDPWK9JALWof/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open.,2,2,2,2,2,0,
grade1_profile28421_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1_vOl-dbxm4QM-tjb3rZVBFbMSgwJUvbb/view?usp=drivesdk,It's locked. I can open it. ,It's loooocked. I can open.,2,1,2,2,2,0,
grade1_profile30482_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1gvrL058RUiu13T9smsyocuG0uwy2TN1T/view?usp=drivesdk,It's locked. I can open it. ,Isss lockkkkk. I can open it,0,0,2,2,2,2,
grade1_profile28432_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1QbD9lX4ELjjGb1G6xlPCZUhyY9158_d5/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it. ,2,2,2,2,2,2,
grade1_profile28466_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1zRY6PW7IAezdnV4uTAT0RM8Ws43LLViP/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open.,2,2,2,2,2,0,
grade1_profile28375_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1KFpOLki5lK66HELM5Pr37EYPFqd5GRh2/view?usp=drivesdk,It's locked. I can open it. ,-,,,,,,,e1
grade1_profile30506_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1cQsOYU8aHJzNNgaobJZBq2-rx076ByYM/view?usp=drivesdk,It's locked. I can open it. ,It's lock. I can open it. ,2,0,2,2,2,2,
grade1_profile28519_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/17Hy0y7y-DV8OYcm-FLPnTczLsxM-v02s/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it.,2,2,2,2,2,2,
grade1_profile28432_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1qrXXoYHxFebjfanwCcHc8vG8uSlIIQY-/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I can open it.,2,2,2,2,2,2,
grade1_profile30506_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1CaIaAzRPua8orJD3bBligABK75L9AmnJ/view?usp=drivesdk,It's locked. I can open it. ,Look. I can open it,0,0,2,2,2,2,
grade1_profile28359_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/14h02qdid2LxCuLFVsc4SuIYNkiCPIjfh/view?usp=drivesdk,It's locked. I can open it. ,It's lokid. I caaan o opin it,2,0,2,1,0,2,
grade1_profile28364_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1DW1ZRUwlATElVj-21yJTL3Pr92PnEMrV/view?usp=drivesdk,It's locked. I can open it. ,It's locked. I an open it,2,2,2,0,2,2,
