audio_file_name,Submitted Audio Link,Question,Tab,Human Transcription
grade1_profile28369_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/19qQ6X61voZKrC2A-jCwn_CoAR9039FEQ/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,
grade1_profile28388_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/15Vnas2h0X6NxfpfsFROoDg4VmD6q0Oe6/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile30506_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1LHsph3GJhyeQFfQfLlL6DScluUzu5rDw/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile30665_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1Ubbq0DMST7gEyg6MD3Xjltc2UJCfZowQ/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile28381_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1bjb4Hq936mq1Fuq20877lvNDPAr23Ovp/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile30586_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1Uvu547A7PZzgn-NOOv5lrhV4tG6ePrx4/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile28431_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1VqhtoK78AJ5GV0eDFx7vHvJnFM1nC3r-/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile30665_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1WOXjuPGmY2gGKaqTbAvZZeiPOticbO4i/view?usp=drivesdk,It's locked. I can open it.,Q2,
grade1_profile28344_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1qjkXEyL7pjPQidpXfxOcjy8sYYlRBchK/view?usp=drivesdk,It's locked. I can open it.,Q2,
grade1_profile28444_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1NSwDlBm31bPu1gVJovLqxv85nCMKfiYM/view?usp=drivesdk,It's locked. I can open it.,Q2,
grade1_profile30586_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1_6IrNuK2IXDHHiytAAUYJQVkUZp5m66x/view?usp=drivesdk,It's locked. I can open it.,Q2,
grade1_profile28463_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/111xBn2enmGjQP6fDEJwjhFGIWFXHW6sx/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,
grade1_profile31207_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1qTAZ2mmld2m53MnuCIThhUCN_6l-XkXm/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,
grade1_profile28385_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1HjQlCur1XeRwSX6CAWCb6ylZW3C5mmGM/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,
grade1_profile28376_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1LomnW9fD89-Ni3J8pexl-yYMQde9CsMR/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,
grade1_profile28431_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1lOk1sCvmNs6G9j2wJf8YjxG2-1Y5COI1/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,
grade1_profile30485_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1pb6PO7MxncSiiAltCM8LmuEVWJRv_Y7_/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,
grade1_profile31192_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1rGYKUG3-9eYTg31UmxT9ZBJvwk0c4eds/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile30496_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1w7vvMhkxqbxOijzGE-BKCYsZzcXKoPfi/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile28471_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1N_tgt0NHxZO-xWj6BRA5fezr5Mgq-Cpn/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile28450_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1ioNp1XwGkALYhheVpFLfYcuuCStoaHnO/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile28475_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1PKVbPTuQOSEI9cnGy9kSuaLo3aEKsZ47/view?usp=drivesdk,Come on. We can do it  together.,Q1,
grade1_profile28398_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1Mv6cb_xuw0YjYobRiSAVWdZ78ZoCi8t4/view?usp=drivesdk,It's locked. I can open it.,Q2,
grade1_profile28474_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1NkIJUV8b5P27Z0PYuDsaGln9xM0EjNrL/view?usp=drivesdk,It's locked. I can open it.,Q2,
